web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Fleet Number,Age
"1519892958-3143","https://www.planespotters.net/airline/United-Airlines?p=15","N26967","Boeing 787-9 Dreamliner","C48Y204","21. Jun 2016","0967","1.8 Years"
"1519892973-3420","https://www.planespotters.net/airline/United-Airlines?p=9","N53442","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0442","8.5 Years"
"1519892958-3120","https://www.planespotters.net/airline/United-Airlines?p=15","N","Boeing 787-10 Dreamliner","","(On Order)","",""
"1519892978-3568","https://www.planespotters.net/airline/United-Airlines?p=7","N87512","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0512","9.8 Years"
"1519892963-3223","https://www.planespotters.net/airline/United-Airlines?p=13","N78060","Boeing 767-424(ER)","C39Y203","01. Oct 2010","0060","16.1 Years"
"1519892968-3348","https://www.planespotters.net/airline/United-Airlines?p=11","N568UA","Boeing 757-222(WL)","C28Y114","05. Nov 1992","5468","25.4 Years"
"1519892981-3579","https://www.planespotters.net/airline/United-Airlines?p=6","N33262","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0262","16.6 Years"
"1519892981-3583","https://www.planespotters.net/airline/United-Airlines?p=6","N33286","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0286","13.8 Years"
"1519892978-3557","https://www.planespotters.net/airline/United-Airlines?p=7","N78501","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0501","11.7 Years"
"1519892985-3714","https://www.planespotters.net/airline/United-Airlines?p=4","N16701","Boeing 737-724(WL)","C12Y114","01. Oct 2010","0701","20.1 Years"
"1519892971-3417","https://www.planespotters.net/airline/United-Airlines?p=10","N14107","Boeing 757-224(WL)","C16Y153","01. Oct 2010","0107","23.4 Years"
"1519892991-3825","https://www.planespotters.net/airline/United-Airlines?p=2","N414UA","Airbus A320-232","C12Y138","06. Jan 2009
(12. Jul 1994)","4214","24.0 Years"
"1519892971-3389","https://www.planespotters.net/airline/United-Airlines?p=10","N71411","Boeing 737-924(WL)","C20Y159","01. Oct 2010","0411","16.2 Years"
"1519892973-3427","https://www.planespotters.net/airline/United-Airlines?p=9","N62849","Boeing 737-924(ER)(WL)","C20Y159","17. Apr 2015","0849","2.9 Years"
"1519892976-3502","https://www.planespotters.net/airline/United-Airlines?p=8","N38417","Boeing 737-924(ER)(WL)","C20Y159","01. Oct 2010","0417","10.0 Years"
"1519892960-3200","https://www.planespotters.net/airline/United-Airlines?p=14","N2331U","Boeing 777-322(ER)","C60Y306","21. Dec 2016","2131","1.3 Years"
"1519892993-3858","https://www.planespotters.net/airline/United-Airlines?p=1","N824UA","Airbus A319-131","C8Y120","18. Feb 1999","4024","19.1 Years"
"1519892968-3361","https://www.planespotters.net/airline/United-Airlines?p=11","N57852","Boeing 757-324(WL)","C24Y189","01. Oct 2010","0852","16.2 Years"
"1519892966-3288","https://www.planespotters.net/airline/United-Airlines?p=12","N654UA","Boeing 767-322(ER)(WL)","F6C26Y151","10. Nov 1992","6454","25.4 Years"
"1519892988-3759","https://www.planespotters.net/airline/United-Airlines?p=3","N453UA","Airbus A320-232","C12Y138","06. Jan 2009
(14. Apr 1999)","4253","19.0 Years"
"1519892993-3868","https://www.planespotters.net/airline/United-Airlines?p=1","N834UA","Airbus A319-131","C8Y120","08. Feb 2001","4034","17.1 Years"
"1519892968-3358","https://www.planespotters.net/airline/United-Airlines?p=11","N598UA","Boeing 757-222(WL)","C28Y114","22. Jan 1999","5598","19.2 Years"
"1519892978-3560","https://www.planespotters.net/airline/United-Airlines?p=7","N78511","Boeing 737-824(WL)","C16Y150","01. Oct 2010","0511","9.8 Years"
"1519892960-3194","https://www.planespotters.net/airline/United-Airlines?p=14","N2135U","Boeing 777-322(ER)","C60Y306","31. Mar 2017","2135","1.0 Years"
"1519892960-3207","https://www.planespotters.net/airline/United-Airlines?p=14","N2645U","Boeing 777-322(ER)","C60Y306","(On Order)","2145",""
"1519892966-3292","https://www.planespotters.net/airline/United-Airlines?p=12","N658UA","Boeing 767-322(ER)(WL)","C30Y184","04. Mar 1993","6458","25.1 Years"
