web-scraper-order,web-scraper-start-url,Reg,Aircraft Type,Config,Delivered,Age,Models
1519892604-2645,https://www.planespotters.net/airline/Delta-Air-Lines?p=9,N832DN,Boeing 737-932(ER)(WL),C20W21Y139,22. Jan 2015,3.1 Years,737
1519892586-2294,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N995DL,McDonnell Douglas MD-88,C16W15Y118,05. Feb 1992,26.2 Years,MD80
1519892624-3113,https://www.planespotters.net/airline/Delta-Air-Lines?p=1,N362NB,Airbus A319-114,C12W18Y96,29. Oct 2008,14.8 Years,A320
1519892586-2272,https://www.planespotters.net/airline/Delta-Air-Lines?p=16,N973DL,McDonnell Douglas MD-88,C16W15Y118,22. Mar 1991,27.1 Years,MD80
1519892617-2909,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N344DN,Airbus A321-211(WL),C20W29Y143,(On Order),,A320
1519892591-2385,https://www.planespotters.net/airline/Delta-Air-Lines?p=14,N701DN,Boeing 777-232(LR),C37W36Y218,28. Feb 2008,10.1 Years,777
1519892596-2526,https://www.planespotters.net/airline/Delta-Air-Lines?p=12,N1602,Boeing 767-332(ER)(WL),C36W32Y143,22. Jan 1999,19.1 Years,767
1519892612-2831,https://www.planespotters.net/airline/Delta-Air-Lines?p=6,N987DN,Boeing 717-23S,C12W15Y83,04. Jan 2016,17.6 Years,717
1519892584-2247,https://www.planespotters.net/airline/Delta-Air-Lines?p=17,N940DN,McDonnell Douglas MD-90-30,C16W15Y129,23. May 2012,20.8 Years,MD90
1519892617-2930,https://www.planespotters.net/airline/Delta-Air-Lines?p=4,N807NW,Airbus A330-323,C34W32Y227,29. Oct 2008,14.0 Years,A330
1519892602-2628,https://www.planespotters.net/airline/Delta-Air-Lines?p=10,N651DL,Boeing 757-232,F72,"01. May 2006
(26. Jul 1989)",28.7 Years,757
1519892599-2569,https://www.planespotters.net/airline/Delta-Air-Lines?p=11,N684DA,Boeing 757-232,C26W26Y132,"01. May 2006
(26. Mar 1993)",25.0 Years,757
1519892624-3086,https://www.planespotters.net/airline/Delta-Air-Lines?p=1,N333NB,Airbus A319-114,C12W18Y96,29. Oct 2008,16.5 Years,A320
